instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,type
5301,13-08-2011,3,0,8,18,0,6,0,1,0.7,0.6667,0.74,0.2239,123,169,292,train
5302,13-08-2011,3,0,8,19,0,6,0,2,0.68,0.6364,0.79,0.2836,67,170,237,train
5303,13-08-2011,3,0,8,20,0,6,0,2,0.68,0.6364,0.83,0.2239,78,105,183,train
5304,13-08-2011,3,0,8,21,0,6,0,2,0.68,0.6364,0.83,0.3881,40,127,167,train
5305,13-08-2011,3,0,8,22,0,6,0,2,0.68,0.6364,0.83,0.3881,36,118,154,train
5306,13-08-2011,3,0,8,23,0,6,0,2,0.66,0.6061,0.83,0.3284,25,95,120,train
5307,14-08-2011,3,0,8,0,0,0,0,3,0.66,0.6061,0.83,0.2985,19,71,90,train
5308,14-08-2011,3,0,8,1,0,0,0,3,0.64,0.5758,0.89,0.2239,16,57,73,train
5309,14-08-2011,3,0,8,2,0,0,0,3,0.64,0.5758,0.89,0.2239,13,49,62,train
5310,14-08-2011,3,0,8,3,0,0,0,2,0.64,0.5606,0.94,0.2537,5,22,27,train
5311,14-08-2011,3,0,8,4,0,0,0,3,0.64,0.5606,0.94,0.194,1,2,3,train
5312,14-08-2011,3,0,8,5,0,0,0,2,0.64,0.5606,0.94,0.1642,1,9,10,train
5313,14-08-2011,3,0,8,6,0,0,0,2,0.64,0.5606,0.94,0.1045,2,4,6,train
5314,14-08-2011,3,0,8,7,0,0,0,2,0.66,0.5909,0.89,0.194,4,20,24,train
5315,14-08-2011,3,0,8,8,0,0,0,2,0.66,0.5909,0.89,0.2836,20,21,41,train
5316,14-08-2011,3,0,8,9,0,0,0,3,0.66,0.5909,0.89,0.2836,27,76,103,train
5317,14-08-2011,3,0,8,10,0,0,0,1,0.7,0.6667,0.79,0.2239,67,116,183,train
5318,14-08-2011,3,0,8,11,0,0,0,1,0.7,0.6667,0.79,0.194,81,117,198,train
5319,14-08-2011,3,0,8,12,0,0,0,2,0.7,0.6667,0.79,0.2239,98,183,281,train
5320,14-08-2011,3,0,8,13,0,0,0,1,0.72,0.697,0.74,0.2537,144,233,377,train
5321,14-08-2011,3,0,8,14,0,0,0,1,0.74,0.697,0.7,0.194,126,244,370,train
5322,14-08-2011,3,0,8,15,0,0,0,1,0.74,0.697,0.66,0.194,128,203,331,train
5323,14-08-2011,3,0,8,16,0,0,0,1,0.74,0.697,0.66,0.1642,116,176,292,train
5324,14-08-2011,3,0,8,17,0,0,0,1,0.76,0.7121,0.62,0.1343,133,196,329,train
5325,14-08-2011,3,0,8,18,0,0,0,1,0.74,0.697,0.66,0.1642,125,222,347,train
5326,14-08-2011,3,0,8,19,0,0,0,1,0.72,0.697,0.74,0.2239,75,184,259,train
5327,14-08-2011,3,0,8,20,0,0,0,1,0.7,0.6667,0.84,0.1642,67,126,193,train
5328,14-08-2011,3,0,8,21,0,0,0,3,0.6,0.5455,0.88,0.4925,51,104,155,train
5329,14-08-2011,3,0,8,22,0,0,0,3,0.6,0.5455,0.88,0.4925,14,25,39,train
5330,14-08-2011,3,0,8,23,0,0,0,3,0.6,0.5606,0.83,0,5,22,27,train
5331,15-08-2011,3,0,8,0,0,1,1,3,0.6,0.5455,0.88,0.0896,7,18,25,train
5332,15-08-2011,3,0,8,1,0,1,1,2,0.6,0.5455,0.88,0.1343,1,9,10,train
5333,15-08-2011,3,0,8,2,0,1,1,2,0.6,0.5606,0.83,0,0,3,3,train
5334,15-08-2011,3,0,8,3,0,1,1,1,0.6,0.5606,0.83,0.194,1,6,7,train
5335,15-08-2011,3,0,8,4,0,1,1,1,0.6,0.5606,0.83,0.1343,1,4,5,train
5336,15-08-2011,3,0,8,5,0,1,1,2,0.6,0.5455,0.88,0.194,3,14,17,train
5337,15-08-2011,3,0,8,6,0,1,1,1,0.6,0.5455,0.88,0.2537,3,87,90,train
5338,15-08-2011,3,0,8,7,0,1,1,1,0.6,0.5455,0.88,0.2537,10,248,258,train
5339,15-08-2011,3,0,8,8,0,1,1,1,0.64,0.5909,0.78,0.3284,29,326,355,train
5340,15-08-2011,3,0,8,9,0,1,1,1,0.64,0.5909,0.78,0.3284,52,170,222,train
5341,15-08-2011,3,0,8,10,0,1,1,1,0.68,0.6364,0.69,0.2836,54,87,141,train
5342,15-08-2011,3,0,8,11,0,1,1,2,0.72,0.6818,0.62,0.2537,41,112,153,train
5343,15-08-2011,3,0,8,12,0,1,1,1,0.74,0.6818,0.58,0.2836,62,116,178,train
5344,15-08-2011,3,0,8,13,0,1,1,1,0.78,0.7121,0.52,0.2836,53,140,193,train
5345,15-08-2011,3,0,8,14,0,1,1,1,0.74,0.6818,0.55,0.0896,56,95,151,train
5346,15-08-2011,3,0,8,15,0,1,1,3,0.74,0.6818,0.55,0.2985,49,133,182,train
5347,15-08-2011,3,0,8,16,0,1,1,1,0.74,0.6818,0.55,0.3284,58,225,283,train
5348,15-08-2011,3,0,8,17,0,1,1,1,0.74,0.6667,0.51,0.2836,59,471,530,train
5349,15-08-2011,3,0,8,18,0,1,1,1,0.7,0.6515,0.65,0.194,70,413,483,train
5350,15-08-2011,3,0,8,19,0,1,1,1,0.7,0.6515,0.65,0,54,343,397,train
5351,15-08-2011,3,0,8,20,0,1,1,1,0.66,0.6212,0.74,0.1343,45,240,285,train
5352,15-08-2011,3,0,8,21,0,1,1,1,0.66,0.6212,0.65,0.194,34,150,184,train
5353,15-08-2011,3,0,8,22,0,1,1,1,0.66,0.6212,0.69,0.2537,22,76,98,train
5354,15-08-2011,3,0,8,23,0,1,1,1,0.64,0.6061,0.69,0.2239,11,77,88,train
5355,16-08-2011,3,0,8,0,0,2,1,1,0.64,0.6061,0.69,0.1045,8,23,31,train
5356,16-08-2011,3,0,8,1,0,2,1,1,0.64,0.6061,0.69,0.1642,4,12,16,train
5357,16-08-2011,3,0,8,2,0,2,1,1,0.62,0.5909,0.73,0.2239,1,3,4,train
5358,16-08-2011,3,0,8,3,0,2,1,1,0.62,0.5909,0.73,0.2239,1,5,6,train
5359,16-08-2011,3,0,8,4,0,2,1,1,0.64,0.6061,0.69,0.2985,0,5,5,train
5360,16-08-2011,3,0,8,5,0,2,1,1,0.62,0.5909,0.73,0.2836,1,29,30,train
5361,16-08-2011,3,0,8,6,0,2,1,1,0.62,0.5909,0.73,0.3284,4,115,119,train
5362,16-08-2011,3,0,8,7,0,2,1,1,0.64,0.6061,0.69,0.2537,18,328,346,train
5363,16-08-2011,3,0,8,8,0,2,1,1,0.7,0.6515,0.58,0.4478,24,417,441,train
5364,16-08-2011,3,0,8,9,0,2,1,1,0.68,0.6364,0.61,0.2836,27,171,198,train
5365,16-08-2011,3,0,8,10,0,2,1,1,0.7,0.6515,0.58,0.3881,28,83,111,train
5366,16-08-2011,3,0,8,11,0,2,1,1,0.74,0.6667,0.51,0.2239,40,110,150,train
5367,16-08-2011,3,0,8,12,0,2,1,1,0.76,0.6818,0.48,0.3284,42,120,162,train
5368,16-08-2011,3,0,8,13,0,2,1,1,0.76,0.6818,0.48,0.2985,45,147,192,train
5369,16-08-2011,3,0,8,14,0,2,1,1,0.76,0.6818,0.45,0.4179,65,117,182,train
5370,16-08-2011,3,0,8,15,0,2,1,1,0.8,0.7121,0.41,0.2985,36,123,159,train
5371,16-08-2011,3,0,8,16,0,2,1,1,0.8,0.7121,0.41,0.2239,55,248,303,train
5372,16-08-2011,3,0,8,17,0,2,1,1,0.76,0.6818,0.45,0.3284,75,525,600,train
5373,16-08-2011,3,0,8,18,0,2,1,1,0.76,0.6818,0.45,0.2239,54,516,570,train
5374,16-08-2011,3,0,8,19,0,2,1,1,0.74,0.6667,0.48,0.194,56,320,376,train
5375,16-08-2011,3,0,8,20,0,2,1,1,0.74,0.6667,0.51,0,48,232,280,train
5376,16-08-2011,3,0,8,21,0,2,1,1,0.72,0.6667,0.54,0,38,177,215,train
5377,16-08-2011,3,0,8,22,0,2,1,1,0.7,0.6515,0.61,0,31,121,152,train
5378,16-08-2011,3,0,8,23,0,2,1,1,0.66,0.6212,0.65,0.1343,20,57,77,train
5379,17-08-2011,3,0,8,0,0,3,1,1,0.66,0.6212,0.69,0.0896,8,16,24,train
5380,17-08-2011,3,0,8,1,0,3,1,1,0.64,0.6061,0.73,0.1642,2,12,14,train
5381,17-08-2011,3,0,8,2,0,3,1,1,0.66,0.6212,0.69,0,0,6,6,train
5382,17-08-2011,3,0,8,3,0,3,1,1,0.64,0.5909,0.78,0,1,4,5,train
5383,17-08-2011,3,0,8,4,0,3,1,1,0.64,0.6061,0.73,0,0,5,5,train
5384,17-08-2011,3,0,8,5,0,3,1,1,0.64,0.6061,0.73,0,0,28,28,train
5385,17-08-2011,3,0,8,6,0,3,1,1,0.62,0.5909,0.78,0,4,101,105,train
5386,17-08-2011,3,0,8,7,0,3,1,1,0.66,0.6212,0.65,0.0896,12,296,308,train
5387,17-08-2011,3,0,8,8,0,3,1,1,0.7,0.6515,0.54,0.1642,35,452,487,train
5388,17-08-2011,3,0,8,9,0,3,1,1,0.74,0.6667,0.48,0.0896,31,178,209,train
5389,17-08-2011,3,0,8,10,0,3,1,1,0.76,0.6818,0.43,0.0896,27,91,118,train
5390,17-08-2011,3,0,8,11,0,3,1,1,0.78,0.697,0.43,0.1045,20,108,128,train
5391,17-08-2011,3,0,8,12,0,3,1,1,0.8,0.7273,0.43,0.2836,26,163,189,train
5392,17-08-2011,3,0,8,13,0,3,1,1,0.8,0.7121,0.41,0.194,38,138,176,train
5393,17-08-2011,3,0,8,14,0,3,1,1,0.82,0.7273,0.36,0.1642,54,138,192,train
5394,17-08-2011,3,0,8,15,0,3,1,1,0.8,0.7273,0.43,0.1343,42,117,159,train
5395,17-08-2011,3,0,8,16,0,3,1,1,0.82,0.7424,0.43,0.2239,62,238,300,train
5396,17-08-2011,3,0,8,17,0,3,1,1,0.8,0.7424,0.49,0.2239,46,506,552,train
5397,17-08-2011,3,0,8,18,0,3,1,1,0.76,0.697,0.55,0.2537,86,470,556,train
5398,17-08-2011,3,0,8,19,0,3,1,1,0.76,0.697,0.55,0.2239,50,297,347,train
5399,17-08-2011,3,0,8,20,0,3,1,1,0.74,0.6818,0.58,0.2537,37,243,280,train
5400,17-08-2011,3,0,8,21,0,3,1,1,0.72,0.6818,0.62,0.2239,38,192,230,train
5401,17-08-2011,3,0,8,22,0,3,1,1,0.7,0.6515,0.65,0.194,29,142,171,train
5402,17-08-2011,3,0,8,23,0,3,1,1,0.7,0.6515,0.65,0.2836,20,85,105,train
5403,18-08-2011,3,0,8,0,0,4,1,1,0.68,0.6364,0.65,0.1343,18,38,56,train
5404,18-08-2011,3,0,8,1,0,4,1,2,0.66,0.6212,0.65,0.1642,13,11,24,train
5405,18-08-2011,3,0,8,2,0,4,1,1,0.66,0.6212,0.65,0.2239,2,4,6,train
5406,18-08-2011,3,0,8,3,0,4,1,1,0.66,0.6212,0.69,0.2836,0,6,6,train
5407,18-08-2011,3,0,8,4,0,4,1,1,0.64,0.6061,0.73,0.2239,0,9,9,train
5408,18-08-2011,3,0,8,5,0,4,1,1,0.64,0.5909,0.78,0.2836,0,27,27,train
5409,18-08-2011,3,0,8,6,0,4,1,2,0.64,0.5909,0.78,0.2537,6,97,103,train
5410,18-08-2011,3,0,8,7,0,4,1,1,0.64,0.5909,0.78,0.2985,19,289,308,train
5411,18-08-2011,3,0,8,8,0,4,1,1,0.66,0.6212,0.74,0.2836,27,393,420,train
5412,18-08-2011,3,0,8,9,0,4,1,1,0.72,0.6818,0.66,0.2537,42,186,228,train
5413,18-08-2011,3,0,8,10,0,4,1,1,0.74,0.697,0.66,0.2537,37,92,129,train
5414,18-08-2011,3,0,8,11,0,4,1,1,0.76,0.7121,0.58,0.2537,44,97,141,train
5415,18-08-2011,3,0,8,12,0,4,1,1,0.8,0.7424,0.52,0.2836,34,139,173,train
5416,18-08-2011,3,0,8,13,0,4,1,1,0.8,0.7424,0.52,0.3582,33,154,187,train
5417,18-08-2011,3,0,8,14,0,4,1,1,0.82,0.7576,0.46,0.3284,67,115,182,train
5418,18-08-2011,3,0,8,15,0,4,1,1,0.8,0.7273,0.46,0.3582,56,118,174,train
5419,18-08-2011,3,0,8,16,0,4,1,1,0.8,0.7273,0.46,0.3582,49,196,245,train
5420,18-08-2011,3,0,8,17,0,4,1,3,0.8,0.7273,0.46,0.2985,44,365,409,train
5421,18-08-2011,3,0,8,18,0,4,1,3,0.76,0.697,0.55,0.2537,48,226,274,train
5422,18-08-2011,3,0,8,19,0,4,1,1,0.66,0.6061,0.83,0.1045,26,115,141,train
5423,18-08-2011,3,0,8,20,0,4,1,1,0.66,0.6061,0.83,0.1045,24,141,165,train
5424,18-08-2011,3,0,8,21,0,4,1,2,0.68,0.6364,0.79,0,12,137,149,train
5425,18-08-2011,3,0,8,22,0,4,1,2,0.7,0.6667,0.74,0.1045,18,117,135,train
5426,18-08-2011,3,0,8,23,0,4,1,2,0.7,0.6667,0.74,0.1343,20,94,114,train
5427,19-08-2011,3,0,8,0,0,5,1,3,0.68,0.6364,0.69,0.194,9,53,62,train
5428,19-08-2011,3,0,8,1,0,5,1,3,0.64,0.5758,0.89,0,1,19,20,train
5429,19-08-2011,3,0,8,2,0,5,1,3,0.64,0.5758,0.83,0,0,8,8,train
5430,19-08-2011,3,0,8,3,0,5,1,1,0.64,0.5909,0.78,0,2,1,3,train
5431,19-08-2011,3,0,8,4,0,5,1,1,0.64,0.5758,0.83,0,1,7,8,train
5432,19-08-2011,3,0,8,5,0,5,1,1,0.64,0.5758,0.83,0,1,16,17,train
5433,19-08-2011,3,0,8,6,0,5,1,1,0.64,0.5758,0.83,0,2,91,93,train
5434,19-08-2011,3,0,8,7,0,5,1,2,0.66,0.6061,0.83,0.0896,12,251,263,train
5435,19-08-2011,3,0,8,8,0,5,1,2,0.66,0.6061,0.83,0,30,368,398,train
5436,19-08-2011,3,0,8,9,0,5,1,1,0.7,0.6515,0.65,0.1343,31,187,218,train
5437,19-08-2011,3,0,8,10,0,5,1,1,0.72,0.6818,0.62,0.0896,57,108,165,train
5438,19-08-2011,3,0,8,11,0,5,1,2,0.72,0.6818,0.66,0.0896,45,120,165,train
5439,19-08-2011,3,0,8,12,0,5,1,2,0.74,0.6818,0.62,0.0896,54,168,222,train
5440,19-08-2011,3,0,8,13,0,5,1,2,0.76,0.7121,0.62,0.194,63,169,232,train
5441,19-08-2011,3,0,8,14,0,5,1,1,0.78,0.7273,0.55,0.194,78,142,220,train
5442,19-08-2011,3,0,8,15,0,5,1,1,0.8,0.7424,0.49,0.1045,66,156,222,train
5443,19-08-2011,3,0,8,16,0,5,1,1,0.8,0.7424,0.49,0,66,261,327,train
5444,19-08-2011,3,0,8,17,0,5,1,1,0.76,0.7121,0.58,0.5224,85,442,527,train
5445,19-08-2011,3,0,8,18,0,5,1,1,0.76,0.7121,0.58,0.5224,88,337,425,train
5446,19-08-2011,3,0,8,19,0,5,1,3,0.62,0.5909,0.73,0.4627,33,132,165,train
5447,19-08-2011,3,0,8,20,0,5,1,3,0.62,0.5758,0.83,0.2985,12,46,58,train
5448,19-08-2011,3,0,8,21,0,5,1,1,0.62,0.5758,0.83,0.1343,18,89,107,train
5449,19-08-2011,3,0,8,22,0,5,1,1,0.6,0.5455,0.88,0.1343,25,97,122,train
5450,19-08-2011,3,0,8,23,0,5,1,2,0.6,0.5455,0.88,0.0896,18,88,106,train
5726,01-09-2011,3,0,9,0,0,4,1,1,0.6,0.5758,0.78,0.1045,18,33,51,train
5727,01-09-2011,3,0,9,1,0,4,1,1,0.6,0.5909,0.73,0.0896,7,14,21,train
5728,01-09-2011,3,0,9,2,0,4,1,1,0.58,0.5455,0.78,0.0896,14,11,25,train
5729,01-09-2011,3,0,9,3,0,4,1,1,0.58,0.5455,0.78,0.0896,7,7,14,train
5730,01-09-2011,3,0,9,4,0,4,1,1,0.56,0.5303,0.83,0.0896,0,7,7,train
5731,01-09-2011,3,0,9,5,0,4,1,1,0.56,0.5303,0.73,0.0896,1,22,23,train
5732,01-09-2011,3,0,9,6,0,4,1,1,0.6,0.5758,0.78,0,2,103,105,train
5733,01-09-2011,3,0,9,7,0,4,1,1,0.6,0.5758,0.78,0,7,335,342,train
5734,01-09-2011,3,0,9,8,0,4,1,1,0.62,0.5909,0.73,0.1343,31,467,498,train
5735,01-09-2011,3,0,9,9,0,4,1,1,0.64,0.6061,0.69,0.1045,29,178,207,train
5736,01-09-2011,3,0,9,10,0,4,1,1,0.68,0.6364,0.61,0.1343,46,92,138,train
5737,01-09-2011,3,0,9,11,0,4,1,1,0.72,0.6667,0.51,0.1343,51,141,192,train
5738,01-09-2011,3,0,9,12,0,4,1,2,0.72,0.6667,0.51,0.1343,64,165,229,train
5739,01-09-2011,3,0,9,13,0,4,1,2,0.72,0.6667,0.48,0.0896,50,169,219,train
5740,01-09-2011,3,0,9,14,0,4,1,3,0.72,0.6667,0.54,0.2537,54,144,198,train
5741,01-09-2011,3,0,9,15,0,4,1,1,0.72,0.6667,0.51,0.1343,39,135,174,train
5742,01-09-2011,3,0,9,16,0,4,1,1,0.74,0.6667,0.51,0.194,55,253,308,train
5743,01-09-2011,3,0,9,17,0,4,1,1,0.72,0.6667,0.54,0.2537,61,567,628,train
5744,01-09-2011,3,0,9,18,0,4,1,1,0.72,0.6667,0.54,0.2239,69,462,531,train
5745,01-09-2011,3,0,9,19,0,4,1,1,0.7,0.6515,0.58,0.1642,79,364,443,train
5746,01-09-2011,3,0,9,20,0,4,1,1,0.66,0.6212,0.61,0.2239,33,247,280,train
5747,01-09-2011,3,0,9,21,0,4,1,2,0.66,0.6212,0.57,0.194,17,160,177,train
5748,01-09-2011,3,0,9,22,0,4,1,2,0.66,0.6212,0.57,0.2239,34,145,179,train
5749,01-09-2011,3,0,9,23,0,4,1,1,0.64,0.6061,0.65,0.2537,15,111,126,train
5750,02-09-2011,3,0,9,0,0,5,1,1,0.64,0.6061,0.65,0.194,6,58,64,train
5751,02-09-2011,3,0,9,1,0,5,1,3,0.62,0.5909,0.73,0.1045,4,28,32,train
5752,02-09-2011,3,0,9,2,0,5,1,3,0.62,0.5909,0.73,0.1045,9,11,20,train
5753,02-09-2011,3,0,9,3,0,5,1,2,0.6,0.5606,0.83,0.1642,4,4,8,train
5754,02-09-2011,3,0,9,4,0,5,1,1,0.6,0.5606,0.83,0.0896,2,2,4,train
5755,02-09-2011,3,0,9,5,0,5,1,2,0.6,0.5606,0.83,0.1343,0,20,20,train
5756,02-09-2011,3,0,9,6,0,5,1,1,0.6,0.5606,0.83,0.1343,3,73,76,train
5757,02-09-2011,3,0,9,7,0,5,1,1,0.6,0.5606,0.83,0.1045,6,253,259,train
5758,02-09-2011,3,0,9,8,0,5,1,1,0.62,0.5909,0.78,0.194,22,434,456,train
5759,02-09-2011,3,0,9,9,0,5,1,2,0.62,0.5758,0.83,0.1045,30,190,220,train
5760,02-09-2011,3,0,9,10,0,5,1,2,0.64,0.6061,0.76,0.1642,34,106,140,train
5761,02-09-2011,3,0,9,11,0,5,1,2,0.66,0.6212,0.74,0.1045,51,141,192,train
5762,02-09-2011,3,0,9,12,0,5,1,2,0.66,0.6212,0.69,0.2239,82,178,260,train
5763,02-09-2011,3,0,9,13,0,5,1,2,0.68,0.6364,0.65,0.1343,72,207,279,train
5764,02-09-2011,3,0,9,14,0,5,1,2,0.7,0.6515,0.61,0.1045,75,208,283,train
5765,02-09-2011,3,0,9,15,0,5,1,2,0.7,0.6515,0.61,0.2537,69,277,346,train
5766,02-09-2011,3,0,9,16,0,5,1,2,0.7,0.6515,0.61,0.1343,82,299,381,train
5767,02-09-2011,3,0,9,17,0,5,1,2,0.68,0.6364,0.65,0.1642,78,377,455,train
5768,02-09-2011,3,0,9,18,0,5,1,2,0.68,0.6364,0.65,0.194,50,305,355,train
5769,02-09-2011,3,0,9,19,0,5,1,1,0.66,0.6212,0.69,0.1343,67,220,287,train
5770,02-09-2011,3,0,9,20,0,5,1,1,0.64,0.6061,0.73,0,38,158,196,train
5771,02-09-2011,3,0,9,21,0,5,1,2,0.64,0.6061,0.73,0.0896,28,121,149,train
5772,02-09-2011,3,0,9,22,0,5,1,2,0.64,0.6061,0.73,0.1642,33,114,147,train
5773,02-09-2011,3,0,9,23,0,5,1,2,0.64,0.6061,0.73,0.1642,30,68,98,train
5774,03-09-2011,3,0,9,0,0,6,0,2,0.64,0.6061,0.73,0.1045,22,65,87,train
5775,03-09-2011,3,0,9,1,0,6,0,2,0.64,0.6061,0.69,0.2537,17,57,74,train
5776,03-09-2011,3,0,9,2,0,6,0,2,0.64,0.6061,0.69,0.2239,15,26,41,train
5777,03-09-2011,3,0,9,3,0,6,0,1,0.62,0.5909,0.73,0.1642,17,18,35,train
5778,03-09-2011,3,0,9,4,0,6,0,1,0.62,0.5909,0.73,0.1642,3,4,7,train
5779,03-09-2011,3,0,9,5,0,6,0,1,0.62,0.6061,0.69,0.194,3,9,12,train
5780,03-09-2011,3,0,9,6,0,6,0,1,0.62,0.5909,0.73,0.1642,4,19,23,train
5781,03-09-2011,3,0,9,7,0,6,0,1,0.62,0.5909,0.73,0.194,5,33,38,train
5782,03-09-2011,3,0,9,8,0,6,0,1,0.64,0.6061,0.69,0.1642,24,65,89,train
5783,03-09-2011,3,0,9,9,0,6,0,2,0.66,0.6212,0.69,0.2537,83,118,201,train
5784,03-09-2011,3,0,9,10,0,6,0,3,0.66,0.6212,0.65,0.2537,90,168,258,train
5785,03-09-2011,3,0,9,11,0,6,0,3,0.66,0.6212,0.69,0.2836,66,128,194,train
5786,03-09-2011,3,0,9,12,0,6,0,1,0.7,0.6515,0.61,0.2239,97,160,257,train
5787,03-09-2011,3,0,9,13,0,6,0,1,0.7,0.6515,0.65,0.2239,153,200,353,train
5788,03-09-2011,3,0,9,14,0,6,0,2,0.72,0.6818,0.66,0.1642,204,176,380,train
5789,03-09-2011,3,0,9,15,0,6,0,1,0.72,0.6818,0.7,0.1642,187,201,388,train
5790,03-09-2011,3,0,9,16,0,6,0,1,0.72,0.6818,0.7,0.194,186,188,374,train
5791,03-09-2011,3,0,9,17,0,6,0,1,0.72,0.6818,0.7,0.2239,170,201,371,train
5792,03-09-2011,3,0,9,18,0,6,0,1,0.72,0.6818,0.7,0.1642,160,179,339,train
5793,03-09-2011,3,0,9,19,0,6,0,1,0.7,0.6667,0.74,0.1343,147,148,295,train
5794,03-09-2011,3,0,9,20,0,6,0,1,0.7,0.6667,0.79,0.1642,99,120,219,train
5795,03-09-2011,3,0,9,21,0,6,0,1,0.68,0.6364,0.83,0.1343,71,93,164,train
5796,03-09-2011,3,0,9,22,0,6,0,1,0.68,0.6364,0.83,0.1045,66,96,162,train
5797,03-09-2011,3,0,9,23,0,6,0,1,0.66,0.6212,0.85,0.1343,46,77,123,train
5798,04-09-2011,3,0,9,0,0,0,0,1,0.66,0.5909,0.89,0.194,33,76,109,train
5799,04-09-2011,3,0,9,1,0,0,0,1,0.66,0.6061,0.83,0.1343,37,38,75,train
5800,04-09-2011,3,0,9,2,0,0,0,1,0.66,0.6061,0.83,0.194,17,43,60,train
5801,04-09-2011,3,0,9,3,0,0,0,1,0.64,0.5758,0.89,0.194,20,23,43,train
5802,04-09-2011,3,0,9,4,0,0,0,1,0.64,0.5758,0.83,0.1642,0,4,4,train
5803,04-09-2011,3,0,9,5,0,0,0,1,0.64,0.5758,0.83,0.1343,1,5,6,train
5804,04-09-2011,3,0,9,6,0,0,0,1,0.64,0.5758,0.84,0.2239,0,3,3,train
5805,04-09-2011,3,0,9,7,0,0,0,1,0.66,0.6061,0.78,0.194,10,20,30,train
5806,04-09-2011,3,0,9,8,0,0,0,1,0.66,0.6061,0.78,0.1642,21,49,70,train
5807,04-09-2011,3,0,9,9,0,0,0,1,0.66,0.6061,0.78,0.1642,87,102,189,train
5808,04-09-2011,3,0,9,10,0,0,0,1,0.7,0.6667,0.74,0.1343,150,147,297,train
5809,04-09-2011,3,0,9,11,0,0,0,1,0.74,0.697,0.7,0.1642,174,163,337,train
5810,04-09-2011,3,0,9,12,0,0,0,1,0.76,0.7273,0.66,0.1642,214,221,435,train
5811,04-09-2011,3,0,9,13,0,0,0,2,0.78,0.7424,0.62,0.2836,245,174,419,train
5812,04-09-2011,3,0,9,14,0,0,0,1,0.78,0.7576,0.66,0.3284,205,156,361,train
5813,04-09-2011,3,0,9,15,0,0,0,1,0.78,0.7576,0.66,0.2836,218,192,410,train
5814,04-09-2011,3,0,9,16,0,0,0,1,0.8,0.7727,0.59,0.2239,196,141,337,train
5815,04-09-2011,3,0,9,17,0,0,0,1,0.76,0.7273,0.66,0.2239,204,172,376,train
5816,04-09-2011,3,0,9,18,0,0,0,1,0.76,0.7273,0.66,0.194,187,169,356,train
5817,04-09-2011,3,0,9,19,0,0,0,1,0.74,0.697,0.7,0.194,178,150,328,train
5818,04-09-2011,3,0,9,20,0,0,0,1,0.74,0.697,0.7,0.2985,104,125,229,train
5819,04-09-2011,3,0,9,21,0,0,0,1,0.72,0.697,0.74,0.2537,104,103,207,train
5820,04-09-2011,3,0,9,22,0,0,0,2,0.72,0.697,0.74,0.2836,70,85,155,train
5821,04-09-2011,3,0,9,23,0,0,0,2,0.72,0.6818,0.7,0.1642,46,58,104,train
5822,05-09-2011,3,0,9,0,1,1,0,2,0.7,0.6667,0.74,0.2239,31,66,97,train
5823,05-09-2011,3,0,9,1,1,1,0,2,0.68,0.6364,0.79,0.1045,19,35,54,train
5824,05-09-2011,3,0,9,2,1,1,0,2,0.68,0.6364,0.79,0.1642,17,22,39,train
5825,05-09-2011,3,0,9,3,1,1,0,2,0.68,0.6364,0.74,0.2985,4,12,16,train
5826,05-09-2011,3,0,9,4,1,1,0,2,0.68,0.6364,0.69,0.2836,3,5,8,train
5827,05-09-2011,3,0,9,5,1,1,0,2,0.66,0.6212,0.74,0.1642,2,4,6,train
5828,05-09-2011,3,0,9,6,1,1,0,2,0.66,0.6212,0.74,0.1343,6,5,11,train
5829,05-09-2011,3,0,9,7,1,1,0,1,0.66,0.6212,0.74,0.1642,11,30,41,train
5830,05-09-2011,3,0,9,8,1,1,0,2,0.66,0.6061,0.78,0.194,45,56,101,train
5831,05-09-2011,3,0,9,9,1,1,0,3,0.68,0.6364,0.74,0.1642,63,89,152,train
5832,05-09-2011,3,0,9,10,1,1,0,2,0.7,0.6515,0.7,0.1642,107,137,244,train
5833,05-09-2011,3,0,9,11,1,1,0,2,0.7,0.6667,0.74,0.1642,101,207,308,train
5834,05-09-2011,3,0,9,12,1,1,0,2,0.72,0.6818,0.7,0.194,141,212,353,train
5835,05-09-2011,3,0,9,13,1,1,0,2,0.74,0.697,0.7,0.1343,154,235,389,train
5836,05-09-2011,3,0,9,14,1,1,0,1,0.74,0.697,0.7,0.1642,145,212,357,train
5837,05-09-2011,3,0,9,15,1,1,0,2,0.68,0.6364,0.79,0.2836,111,142,253,train
5838,05-09-2011,3,0,9,16,1,1,0,2,0.68,0.6364,0.79,0.2836,92,192,284,train
5839,05-09-2011,3,0,9,17,1,1,0,2,0.66,0.5909,0.89,0.1045,37,77,114,train
5840,05-09-2011,3,0,9,18,1,1,0,1,0.66,0.5909,0.89,0.0896,31,92,123,train
5841,05-09-2011,3,0,9,19,1,1,0,3,0.66,0.5909,0.94,0.1045,52,123,175,train
5842,05-09-2011,3,0,9,20,1,1,0,3,0.66,0.5909,0.94,0.2537,26,56,82,train
5843,05-09-2011,3,0,9,21,1,1,0,2,0.66,0.5909,0.94,0.2985,20,40,60,train
5844,05-09-2011,3,0,9,22,1,1,0,2,0.6,0.5455,0.88,0.5821,15,49,64,train
5845,05-09-2011,3,0,9,23,1,1,0,3,0.56,0.5303,0.88,0.3881,3,17,20,train
